entity_cd,entity_name,year,subgroup_name,grad_rate
010100010034,Albany High School,2022,Hispanic or Latino,73.7
010100010034,Albany High School,2022,White,86.9
010100010034,Albany High School,2022,Multiracial,77.4
010100010034,Albany High School,2022,English Language Learner,70.4
010100010034,Albany High School,2022,Economically Disadvantaged,75.5
010100010034,Albany High School,2022,Students with Disabilities,58.1
010100010034,Albany High School,2022,Asian or Native Hawaiian/Other Pacific Islander,82.4
010100010034,Albany High School,2022,Black or African American,77.1
010100860907,Green Tech High Charter School,2022,Economically Disadvantaged,86.2
010500010007,Cohoes High School,2022,Students with Disabilities,70.7
010500010007,Cohoes High School,2022,Black or African American,72.0
010601060008,Colonie Central High School,2022,Hispanic or Latino,85.9
010601060008,Colonie Central High School,2022,White,95.5
010601060008,Colonie Central High School,2022,Multiracial,92.8
010601060008,Colonie Central High School,2022,Economically Disadvantaged,89.2
010601060008,Colonie Central High School,2022,Black or African American,86.5
010601060008,Colonie Central High School,2022,Students with Disabilities,83.5
010100860907,Green Tech High Charter School,2022,Black or African American,90.5
010100860960,Albany Leadership Cs-Girls,2022,Hispanic or Latino,88.9
010100860960,Albany Leadership Cs-Girls,2022,Economically Disadvantaged,91.9
010100860960,Albany Leadership Cs-Girls,2022,Black or African American,86.6
010201040001,Berne-Knox-Westerlo Junior-Senior Hs,2022,White,93.3
010201040001,Berne-Knox-Westerlo Junior-Senior Hs,2022,Economically Disadvantaged,84.2
010306060008,Bethlehem Central Senior High School,2022,White,96.1
010306060008,Bethlehem Central Senior High School,2022,Hispanic or Latino,89.5
010306060008,Bethlehem Central Senior High School,2022,Economically Disadvantaged,80.3
010306060008,Bethlehem Central Senior High School,2022,Students with Disabilities,66.8
010306060008,Bethlehem Central Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,100.0
010402060001,Ravena-Coeymans-Selkirk Sr Hs,2022,White,91.3
010402060001,Ravena-Coeymans-Selkirk Sr Hs,2022,Economically Disadvantaged,83.7
010402060001,Ravena-Coeymans-Selkirk Sr Hs,2022,Students with Disabilities,73.5
010500010007,Cohoes High School,2022,White,87.1
010500010007,Cohoes High School,2022,Economically Disadvantaged,81.0
010601060008,Colonie Central High School,2022,Asian or Native Hawaiian/Other Pacific Islander,93.7
010623060010,Shaker High School,2022,White,96.0
010623060010,Shaker High School,2022,Hispanic or Latino,91.4
010623060010,Shaker High School,2022,Multiracial,83.8
010623060010,Shaker High School,2022,Economically Disadvantaged,88.3
010623060010,Shaker High School,2022,Black or African American,90.9
010623060010,Shaker High School,2022,Students with Disabilities,78.8
010623060010,Shaker High School,2022,Asian or Native Hawaiian/Other Pacific Islander,97.0
010701030001,Heatly School,2022,White,84.7
010802060005,Guilderland High School,2022,Multiracial,94.1
010802060005,Guilderland High School,2022,White,96.5
010802060005,Guilderland High School,2022,Economically Disadvantaged,87.9
010802060005,Guilderland High School,2022,Students with Disabilities,86.4
010802060005,Guilderland High School,2022,Asian or Native Hawaiian/Other Pacific Islander,97.0
010802060005,Guilderland High School,2022,Black or African American,95.5
011003060002,Clayton A Bouton High School,2022,White,98.4
011200010010,Watervliet Junior-Senior Hs,2022,White,88.4
011200010010,Watervliet Junior-Senior Hs,2022,Economically Disadvantaged,82.6
011200010010,Watervliet Junior-Senior Hs,2022,Black or African American,79.3
020101040002,Alfred-Almond Junior-Senior Hs,2022,White,96.7
020101040002,Alfred-Almond Junior-Senior Hs,2022,Economically Disadvantaged,93.3
020601040001,Andover Elementary School,2022,White,95.7
020702040001,Genesee Valley Central School,2022,White,90.5
020702040001,Genesee Valley Central School,2022,Economically Disadvantaged,78.7
020801040001,Belfast School,2022,Economically Disadvantaged,84.2
020801040001,Belfast School,2022,White,90.9
021102040001,Canaseraga School,2022,White,76.9
021601040004,Friendship Central School,2022,White,97.0
022001040001,Fillmore Central School,2022,White,99.3
022001040001,Fillmore Central School,2022,Economically Disadvantaged,97.2
022101040001,Whitesville Central School,2022,White,92.2
022302040001,Cuba-Rushford High School,2022,White,95.9
022302040001,Cuba-Rushford High School,2022,Economically Disadvantaged,91.2
022401040003,Scio Central School,2022,White,89.8
022601060004,Wellsville Secondary School,2022,White,91.8
022601060004,Wellsville Secondary School,2022,Economically Disadvantaged,87.4
022902040001,Bolivar-Richburg Junior-Senior Hs,2022,White,94.4
022902040001,Bolivar-Richburg Junior-Senior Hs,2022,Economically Disadvantaged,91.9
030101060003,Chenango Forks High School,2022,White,97.4
030101060003,Chenango Forks High School,2022,Economically Disadvantaged,92.6
030101060003,Chenango Forks High School,2022,Students with Disabilities,95.5
030200010021,Binghamton High School,2022,White,81.3
030200010021,Binghamton High School,2022,Hispanic or Latino,70.9
030200010021,Binghamton High School,2022,Multiracial,80.0
030200010021,Binghamton High School,2022,Economically Disadvantaged,69.6
030200010021,Binghamton High School,2022,Black or African American,73.4
030200010021,Binghamton High School,2022,Students with Disabilities,61.4
030200010021,Binghamton High School,2022,English Language Learner,74.3
030200010021,Binghamton High School,2022,Asian or Native Hawaiian/Other Pacific Islander,88.4
030501040003,Harpursville Junior-Senior Hs,2022,White,90.9
030501040003,Harpursville Junior-Senior Hs,2022,Economically Disadvantaged,90.4
030501040003,Harpursville Junior-Senior Hs,2022,Students with Disabilities,77.3
030601060006,Susquehanna Valley Senior High Sch,2022,White,92.9
030601060006,Susquehanna Valley Senior High Sch,2022,Economically Disadvantaged,87.0
030601060006,Susquehanna Valley Senior High Sch,2022,Students with Disabilities,73.7
030701060001,Chenango Valley High School,2022,White,94.2
030701060001,Chenango Valley High School,2022,Economically Disadvantaged,85.2
030701060001,Chenango Valley High School,2022,Students with Disabilities,80.0
031101060006,Maine-Endwell Senior Hs,2022,White,94.9
031101060006,Maine-Endwell Senior Hs,2022,Economically Disadvantaged,88.6
031101060006,Maine-Endwell Senior Hs,2022,Students with Disabilities,84.8
031301040003,Deposit Middle-Senior High School,2022,White,96.6
031301040003,Deposit Middle-Senior High School,2022,Economically Disadvantaged,93.3
031401060004,Whitney Point Senior High School,2022,White,91.7
031401060004,Whitney Point Senior High School,2022,Economically Disadvantaged,88.1
031501060012,Union-Endicott High School,2022,Hispanic or Latino,82.5
031501060012,Union-Endicott High School,2022,White,93.1
031501060012,Union-Endicott High School,2022,Multiracial,80.7
031501060012,Union-Endicott High School,2022,Economically Disadvantaged,79.6
031501060012,Union-Endicott High School,2022,Black or African American,73.5
031501060012,Union-Endicott High School,2022,Students with Disabilities,78.9
031502060006,Johnson City Senior High School,2022,Hispanic or Latino,75.0
031502060006,Johnson City Senior High School,2022,White,90.8
031502060006,Johnson City Senior High School,2022,Multiracial,73.7
031502060006,Johnson City Senior High School,2022,Economically Disadvantaged,84.7
031502060006,Johnson City Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,98.4
031502060006,Johnson City Senior High School,2022,Students with Disabilities,64.1
031502060006,Johnson City Senior High School,2022,Black or African American,83.3
031601060051,Vestal Senior High School,2022,Economically Disadvantaged,91.8
031601060051,Vestal Senior High School,2022,White,97.7
031601060051,Vestal Senior High School,2022,Students with Disabilities,88.5
031601060051,Vestal Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,96.8
031701060007,Windsor Central High School,2022,White,93.2
031701060007,Windsor Central High School,2022,Economically Disadvantaged,87.4
040302060001,Allegany-Limestone Middle-High,2022,White,94.8
040302060001,Allegany-Limestone Middle-High,2022,Economically Disadvantaged,87.0
040901040002,Ellicottville Middle/High School,2022,Economically Disadvantaged,86.7
040901040002,Ellicottville Middle/High School,2022,White,96.1
041101040002,Franklinville Junior-Senior Hs,2022,White,94.1
041101040002,Franklinville Junior-Senior Hs,2022,Economically Disadvantaged,87.9
041401040001,Hinsdale Central School,2022,White,89.6
042302040003,Cattaraugus-Little Valley Hs,2022,White,96.1
042302040003,Cattaraugus-Little Valley Hs,2022,Economically Disadvantaged,93.4
042400010013,Olean Senior High School,2022,White,84.2
042400010013,Olean Senior High School,2022,Economically Disadvantaged,72.8
042400010013,Olean Senior High School,2022,Students with Disabilities,55.7
042801060006,Gowanda High School,2022,White,87.6
042801060006,Gowanda High School,2022,Economically Disadvantaged,78.8
042801060006,Gowanda High School,2022,Students with Disabilities,63.2
042801060006,Gowanda High School,2022,American Indian or Alaska Native,84.2
042901040002,Portville Junior-Senior High School,2022,White,95.2
042901040002,Portville Junior-Senior High School,2022,Economically Disadvantaged,92.3
043001040002,Randolph Senior High School,2022,White,95.9
043001040002,Randolph Senior High School,2022,Economically Disadvantaged,100.0
043200050002,Salamanca High School,2022,White,89.5
043200050002,Salamanca High School,2022,Economically Disadvantaged,86.3
043200050002,Salamanca High School,2022,American Indian or Alaska Native,81.1
043501060006,Pioneer Senior High School,2022,White,90.7
043501060006,Pioneer Senior High School,2022,Economically Disadvantaged,86.8
043501060006,Pioneer Senior High School,2022,Students with Disabilities,87.2
050100010013,Auburn High School,2022,White,79.4
050100010013,Auburn High School,2022,Multiracial,59.4
050100010013,Auburn High School,2022,Economically Disadvantaged,62.4
050100010013,Auburn High School,2022,Black or African American,71.4
050100010013,Auburn High School,2022,Students with Disabilities,63.7
050301040002,Weedsport Junior-Senior Hs,2022,White,96.0
050301040002,Weedsport Junior-Senior Hs,2022,Economically Disadvantaged,83.2
050401040003,Cato-Meridian Junior-Senior Hs,2022,White,94.7
050401040003,Cato-Meridian Junior-Senior Hs,2022,Economically Disadvantaged,87.1
050701040005,Southern Cayuga 7-12 Secondary,2022,White,97.2
050701040005,Southern Cayuga 7-12 Secondary,2022,Economically Disadvantaged,91.4
051101040004,Port Byron Senior High School,2022,White,93.1
051101040004,Port Byron Senior High School,2022,Economically Disadvantaged,91.9
051301040003,Moravia Junior-Senior Hs,2022,White,94.9
051301040003,Moravia Junior-Senior Hs,2022,Economically Disadvantaged,91.5
051901040005,Union Springs High School,2022,White,91.6
051901040005,Union Springs High School,2022,Economically Disadvantaged,76.7
060201060003,Southwestern Senior High School,2022,White,94.1
060201060003,Southwestern Senior High School,2022,Economically Disadvantaged,89.2
060201060003,Southwestern Senior High School,2022,Students with Disabilities,88.2
060301040004,Frewsburg Junior-Senior High Sch,2022,White,94.9
060301040004,Frewsburg Junior-Senior High Sch,2022,Economically Disadvantaged,86.0
060401040006,Cassadaga Valley Middle/High School,2022,White,94.8
060401040006,Cassadaga Valley Middle/High School,2022,Economically Disadvantaged,88.2
060503040001,Chautauqua Lake Secondary School,2022,White,96.3
060503040001,Chautauqua Lake Secondary School,2022,Economically Disadvantaged,93.3
060601040003,Pine Valley Central Jr-Sr High Sch,2022,White,79.2
060601040003,Pine Valley Central Jr-Sr High Sch,2022,Economically Disadvantaged,78.6
060701040003,Clymer Central School,2022,White,95.9
060701040003,Clymer Central School,2022,Economically Disadvantaged,90.0
060800010009,Dunkirk Senior High School,2022,White,90.6
060800010009,Dunkirk Senior High School,2022,Hispanic or Latino,68.2
060800010009,Dunkirk Senior High School,2022,English Language Learner,45.1
060800010009,Dunkirk Senior High School,2022,Economically Disadvantaged,77.5
060800010009,Dunkirk Senior High School,2022,Students with Disabilities,67.1
061001040005,Maple Grove Junior/Senior Hs,2022,White,98.9
061101040007,Falconer Middle/High School,2022,White,94.7
061101040007,Falconer Middle/High School,2022,Economically Disadvantaged,90.1
