entity_cd,county,district,nrc_index,school,year,subgroup,grad_rate
010100010034,Albany,Albany City Sd,3,Albany High School,2022,Hispanic or Latino,73.7
010100010034,Albany,Albany City Sd,3,Albany High School,2022,White,86.9
010100010034,Albany,Albany City Sd,3,Albany High School,2022,Multiracial,77.4
010100010034,Albany,Albany City Sd,3,Albany High School,2022,English Language Learner,70.4
010100010034,Albany,Albany City Sd,3,Albany High School,2022,Economically Disadvantaged,75.5
010100010034,Albany,Albany City Sd,3,Albany High School,2022,Students with Disabilities,58.1
010100010034,Albany,Albany City Sd,3,Albany High School,2022,Asian or Native Hawaiian/Other Pacific Islander,82.4
010100010034,Albany,Albany City Sd,3,Albany High School,2022,Black or African American,77.1
010100860907,Albany,Charter School,7,Green Tech High Charter School,2022,Economically Disadvantaged,86.2
010500010007,Albany,Cohoes City Sd,3,Cohoes High School,2022,Students with Disabilities,70.7
010500010007,Albany,Cohoes City Sd,3,Cohoes High School,2022,Black or African American,72.0
010601060008,Albany,South Colonie Csd,5,Colonie Central High School,2022,Hispanic or Latino,85.9
010601060008,Albany,South Colonie Csd,5,Colonie Central High School,2022,White,95.5
010601060008,Albany,South Colonie Csd,5,Colonie Central High School,2022,Multiracial,92.8
010601060008,Albany,South Colonie Csd,5,Colonie Central High School,2022,Economically Disadvantaged,89.2
010601060008,Albany,South Colonie Csd,5,Colonie Central High School,2022,Black or African American,86.5
010601060008,Albany,South Colonie Csd,5,Colonie Central High School,2022,Students with Disabilities,83.5
010100860907,Albany,Charter School,7,Green Tech High Charter School,2022,Black or African American,90.5
010100860960,Albany,Charter School,7,Albany Leadership Cs-Girls,2022,Hispanic or Latino,88.9
010100860960,Albany,Charter School,7,Albany Leadership Cs-Girls,2022,Economically Disadvantaged,91.9
010100860960,Albany,Charter School,7,Albany Leadership Cs-Girls,2022,Black or African American,86.6
010201040001,Albany,Berne-Knox-Westerlo Csd,5,Berne-Knox-Westerlo Junior-Senior Hs,2022,White,93.3
010201040001,Albany,Berne-Knox-Westerlo Csd,5,Berne-Knox-Westerlo Junior-Senior Hs,2022,Economically Disadvantaged,84.2
010306060008,Albany,Bethlehem Csd,6,Bethlehem Central Senior High School,2022,White,96.1
010306060008,Albany,Bethlehem Csd,6,Bethlehem Central Senior High School,2022,Hispanic or Latino,89.5
010306060008,Albany,Bethlehem Csd,6,Bethlehem Central Senior High School,2022,Economically Disadvantaged,80.3
010306060008,Albany,Bethlehem Csd,6,Bethlehem Central Senior High School,2022,Students with Disabilities,66.8
010306060008,Albany,Bethlehem Csd,6,Bethlehem Central Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,100.0
010402060001,Albany,Ravena-Coeymans-Selkirk Csd,5,Ravena-Coeymans-Selkirk Sr Hs,2022,White,91.3
010402060001,Albany,Ravena-Coeymans-Selkirk Csd,5,Ravena-Coeymans-Selkirk Sr Hs,2022,Economically Disadvantaged,83.7
010402060001,Albany,Ravena-Coeymans-Selkirk Csd,5,Ravena-Coeymans-Selkirk Sr Hs,2022,Students with Disabilities,73.5
010500010007,Albany,Cohoes City Sd,3,Cohoes High School,2022,White,87.1
010500010007,Albany,Cohoes City Sd,3,Cohoes High School,2022,Economically Disadvantaged,81.0
010601060008,Albany,South Colonie Csd,5,Colonie Central High School,2022,Asian or Native Hawaiian/Other Pacific Islander,93.7
010623060010,Albany,North Colonie Csd,6,Shaker High School,2022,White,96.0
010623060010,Albany,North Colonie Csd,6,Shaker High School,2022,Hispanic or Latino,91.4
010623060010,Albany,North Colonie Csd,6,Shaker High School,2022,Multiracial,83.8
010623060010,Albany,North Colonie Csd,6,Shaker High School,2022,Economically Disadvantaged,88.3
010623060010,Albany,North Colonie Csd,6,Shaker High School,2022,Black or African American,90.9
010623060010,Albany,North Colonie Csd,6,Shaker High School,2022,Students with Disabilities,78.8
010623060010,Albany,North Colonie Csd,6,Shaker High School,2022,Asian or Native Hawaiian/Other Pacific Islander,97.0
010701030001,Albany,Green Island Ufsd,3,Heatly School,2022,White,84.7
010802060005,Albany,Guilderland Csd,6,Guilderland High School,2022,Multiracial,94.1
010802060005,Albany,Guilderland Csd,6,Guilderland High School,2022,White,96.5
010802060005,Albany,Guilderland Csd,6,Guilderland High School,2022,Economically Disadvantaged,87.9
010802060005,Albany,Guilderland Csd,6,Guilderland High School,2022,Students with Disabilities,86.4
010802060005,Albany,Guilderland Csd,6,Guilderland High School,2022,Asian or Native Hawaiian/Other Pacific Islander,97.0
010802060005,Albany,Guilderland Csd,6,Guilderland High School,2022,Black or African American,95.5
011003060002,Albany,Voorheesville Csd,6,Clayton A Bouton High School,2022,White,98.4
011200010010,Albany,Watervliet City Sd,3,Watervliet Junior-Senior Hs,2022,White,88.4
