entity_cd,entity_name,year,subgroup_name,cohort,grad_rate
010100010034,Albany High School,2022,American Indian or Alaska Native,Combined,s
010100860907,Green Tech High Charter School,2022,Hispanic or Latino,Combined,s
010100860907,Green Tech High Charter School,2022,White,Combined,s
010100860907,Green Tech High Charter School,2022,Multiracial,Combined,s
010100860907,Green Tech High Charter School,2022,English Language Learner,Combined,s
010500010007,Cohoes High School,2022,American Indian or Alaska Native,Combined,s
010500010007,Cohoes High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
010601060008,Colonie Central High School,2022,English Language Learner,Combined,s
010100860907,Green Tech High Charter School,2022,Students with Disabilities,Combined,s
010100860907,Green Tech High Charter School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
010100860907,Green Tech High Charter School,2022,American Indian or Alaska Native,Combined,s
010100860960,Albany Leadership Cs-Girls,2022,White,Combined,s
010100860960,Albany Leadership Cs-Girls,2022,Multiracial,Combined,s
010100860960,Albany Leadership Cs-Girls,2022,English Language Learner,Combined,s
010100860960,Albany Leadership Cs-Girls,2022,Students with Disabilities,Combined,s
010100860960,Albany Leadership Cs-Girls,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
010100860960,Albany Leadership Cs-Girls,2022,American Indian or Alaska Native,Combined,s
010201040001,Berne-Knox-Westerlo Junior-Senior Hs,2022,Hispanic or Latino,Combined,s
010201040001,Berne-Knox-Westerlo Junior-Senior Hs,2022,Multiracial,Combined,s
010201040001,Berne-Knox-Westerlo Junior-Senior Hs,2022,English Language Learner,Combined,s
010201040001,Berne-Knox-Westerlo Junior-Senior Hs,2022,Students with Disabilities,Combined,s
010201040001,Berne-Knox-Westerlo Junior-Senior Hs,2022,Black or African American,Combined,s
010201040001,Berne-Knox-Westerlo Junior-Senior Hs,2022,American Indian or Alaska Native,Combined,s
010201040001,Berne-Knox-Westerlo Junior-Senior Hs,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
010306060008,Bethlehem Central Senior High School,2022,Multiracial,Combined,s
010306060008,Bethlehem Central Senior High School,2022,English Language Learner,Combined,s
010306060008,Bethlehem Central Senior High School,2022,Black or African American,Combined,s
010306060008,Bethlehem Central Senior High School,2022,American Indian or Alaska Native,Combined,s
010402060001,Ravena-Coeymans-Selkirk Sr Hs,2022,Multiracial,Combined,s
010402060001,Ravena-Coeymans-Selkirk Sr Hs,2022,Hispanic or Latino,Combined,s
010402060001,Ravena-Coeymans-Selkirk Sr Hs,2022,English Language Learner,Combined,s
010402060001,Ravena-Coeymans-Selkirk Sr Hs,2022,Black or African American,Combined,s
010402060001,Ravena-Coeymans-Selkirk Sr Hs,2022,American Indian or Alaska Native,Combined,s
010402060001,Ravena-Coeymans-Selkirk Sr Hs,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
010500010007,Cohoes High School,2022,Hispanic or Latino,Combined,s
010500010007,Cohoes High School,2022,Multiracial,Combined,s
010500010007,Cohoes High School,2022,English Language Learner,Combined,s
010601060008,Colonie Central High School,2022,American Indian or Alaska Native,Combined,s
010623060010,Shaker High School,2022,English Language Learner,Combined,s
010623060010,Shaker High School,2022,American Indian or Alaska Native,Combined,s
010701030001,Heatly School,2022,Hispanic or Latino,Combined,s
010701030001,Heatly School,2022,Multiracial,Combined,s
010701030001,Heatly School,2022,Economically Disadvantaged,Combined,s
010701030001,Heatly School,2022,English Language Learner,Combined,s
010701030001,Heatly School,2022,Students with Disabilities,Combined,s
010701030001,Heatly School,2022,Black or African American,Combined,s
010701030001,Heatly School,2022,American Indian or Alaska Native,Combined,s
010701030001,Heatly School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
010802060005,Guilderland High School,2022,English Language Learner,Combined,s
010802060005,Guilderland High School,2022,Hispanic or Latino,Combined,s
010802060005,Guilderland High School,2022,American Indian or Alaska Native,Combined,s
011003060002,Clayton A Bouton High School,2022,Hispanic or Latino,Combined,s
011003060002,Clayton A Bouton High School,2022,Economically Disadvantaged,Combined,s
011003060002,Clayton A Bouton High School,2022,Multiracial,Combined,s
011003060002,Clayton A Bouton High School,2022,English Language Learner,Combined,s
011003060002,Clayton A Bouton High School,2022,Black or African American,Combined,s
011003060002,Clayton A Bouton High School,2022,Students with Disabilities,Combined,s
011003060002,Clayton A Bouton High School,2022,American Indian or Alaska Native,Combined,s
011003060002,Clayton A Bouton High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
011200010010,Watervliet Junior-Senior Hs,2022,Hispanic or Latino,Combined,s
011200010010,Watervliet Junior-Senior Hs,2022,Multiracial,Combined,s
011200010010,Watervliet Junior-Senior Hs,2022,English Language Learner,Combined,s
011200010010,Watervliet Junior-Senior Hs,2022,Students with Disabilities,Combined,s
011200010010,Watervliet Junior-Senior Hs,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
011200010010,Watervliet Junior-Senior Hs,2022,American Indian or Alaska Native,Combined,s
020101040002,Alfred-Almond Junior-Senior Hs,2022,Hispanic or Latino,Combined,s
020101040002,Alfred-Almond Junior-Senior Hs,2022,Multiracial,Combined,s
020101040002,Alfred-Almond Junior-Senior Hs,2022,Black or African American,Combined,s
